SSC_NAME16	LabourForceStatus	persons
Laura (SA)	Employed (full-time)	168
Laura (SA)	Employed (part-time)	124
Laura (SA)	Not in the labour force	204
Laura (SA)	Unemployed (looking for work)	12
Laura Bay	Employed (full-time)	9
Laura Bay	Employed (part-time)	3
Laura Bay	Not in the labour force	6
Laurie Park	Employed (away from work)	3
Laurie Park	Employed (full-time)	24
Laurie Park	Employed (part-time)	15
Laurie Park	Not in the labour force	5
Leabrook	Employed (away from work)	23
Leabrook	Employed (full-time)	322
Leabrook	Employed (part-time)	235
Leabrook	Not in the labour force	717
Leabrook	Unemployed (looking for work)	31
Leasingham	Employed (away from work)	3
Leasingham	Employed (full-time)	38
Leasingham	Employed (part-time)	27
Leasingham	Not in the labour force	32
Leasingham	Unemployed (looking for work)	3
Leawood Gardens	Employed (away from work)	3
Leawood Gardens	Employed (full-time)	16
Leawood Gardens	Employed (part-time)	8
Leawood Gardens	Not in the labour force	15
Leigh Creek (SA)	Employed (away from work)	6
Leigh Creek (SA)	Employed (full-time)	70
Leigh Creek (SA)	Employed (part-time)	33
Leigh Creek (SA)	Not in the labour force	24
Leigh Creek (SA)	Unemployed (looking for work)	7
Leighton	Employed (full-time)	9
Leighton	Employed (part-time)	9
Leighton	Not in the labour force	14
Leighton	Unemployed (looking for work)	4
Lenswood	Employed (away from work)	18
Lenswood	Employed (full-time)	140
Lenswood	Employed (part-time)	99
Lenswood	Not in the labour force	118
Lenswood	Unemployed (looking for work)	11
Lewiston	Employed (away from work)	83
Lewiston	Employed (full-time)	914
Lewiston	Employed (part-time)	515
Lewiston	Not in the labour force	682
Lewiston	Unemployed (looking for work)	123
Light Pass	Employed (away from work)	11
Light Pass	Employed (full-time)	78
Light Pass	Employed (part-time)	41
Light Pass	Not in the labour force	62
Lincoln Gap	Employed (full-time)	6
Lincoln National Park	Employed (part-time)	5
Lincoln National Park	Not in the labour force	3
Linden Park	Employed (away from work)	31
Linden Park	Employed (full-time)	435
Linden Park	Employed (part-time)	297
Linden Park	Not in the labour force	643
Linden Park	Unemployed (looking for work)	68
Linwood	Employed (away from work)	6
Linwood	Employed (full-time)	6
Linwood	Employed (part-time)	7
Linwood	Not in the labour force	7
Lipson	Employed (away from work)	8
Lipson	Employed (full-time)	54
Lipson	Employed (part-time)	29
Lipson	Not in the labour force	68
Lipson	Unemployed (looking for work)	6
Little Douglas	Employed (part-time)	3
Little Douglas	Not in the labour force	6
Littlehampton	Employed (away from work)	93
Littlehampton	Employed (full-time)	846
Littlehampton	Employed (part-time)	608
Littlehampton	Not in the labour force	625
Littlehampton	Unemployed (looking for work)	85
Lobethal	Employed (away from work)	85
Lobethal	Employed (full-time)	694
Lobethal	Employed (part-time)	405
Lobethal	Not in the labour force	701
Lobethal	Unemployed (looking for work)	64
Lochaber	Employed (away from work)	6
Lochaber	Employed (full-time)	34
Lochaber	Employed (part-time)	18
Lochaber	Not in the labour force	14
Lochiel (SA)	Employed (away from work)	4
Lochiel (SA)	Employed (full-time)	31
Lochiel (SA)	Employed (part-time)	17
Lochiel (SA)	Not in the labour force	30
Lochiel (SA)	Unemployed (looking for work)	3
Lock	Employed (away from work)	6
Lock	Employed (full-time)	92
Lock	Employed (part-time)	33
Lock	Not in the labour force	66
Lock	Unemployed (looking for work)	6
Lockleys	Employed (away from work)	131
Lockleys	Employed (full-time)	1580
Lockleys	Employed (part-time)	987
Lockleys	Not in the labour force	1709
Lockleys	Unemployed (looking for work)	140
Long Flat (SA)	Employed (full-time)	32
Long Flat (SA)	Employed (part-time)	11
Long Flat (SA)	Not in the labour force	20
Long Plains	Employed (away from work)	3
Long Plains	Employed (full-time)	15
Long Plains	Employed (part-time)	11
Long Plains	Not in the labour force	7
Long Plains	Unemployed (looking for work)	3
Longwood (SA)	Employed (away from work)	13
Longwood (SA)	Employed (full-time)	78
Longwood (SA)	Employed (part-time)	65
Longwood (SA)	Not in the labour force	47
Longwood (SA)	Unemployed (looking for work)	3
Lonsdale	Employed (full-time)	5
Lonsdale	Employed (part-time)	8
Lonsdale	Not in the labour force	7
Louth Bay	Employed (away from work)	5
Louth Bay	Employed (full-time)	27
Louth Bay	Employed (part-time)	22
Louth Bay	Not in the labour force	39
Louth Bay	Unemployed (looking for work)	3
Loveday	Employed (away from work)	20
Loveday	Employed (full-time)	187
Loveday	Employed (part-time)	99
Loveday	Not in the labour force	151
Loveday	Unemployed (looking for work)	22
Lowan Vale	Employed (away from work)	3
Lowan Vale	Employed (full-time)	17
Lowan Vale	Employed (part-time)	4
Lowan Vale	Not in the labour force	6
Lowan Vale	Unemployed (looking for work)	3
Lowbank	Employed (full-time)	7
Lowbank	Employed (part-time)	12
Lowbank	Not in the labour force	4
Lower Broughton	Employed (away from work)	3
Lower Broughton	Employed (full-time)	19
Lower Broughton	Employed (part-time)	3
Lower Broughton	Not in the labour force	12
Lower Broughton	Unemployed (looking for work)	3
Lower Hermitage	Employed (away from work)	3
Lower Hermitage	Employed (full-time)	59
Lower Hermitage	Employed (part-time)	41
Lower Hermitage	Not in the labour force	58
Lower Hermitage	Unemployed (looking for work)	5
Lower Inman Valley	Employed (away from work)	12
Lower Inman Valley	Employed (full-time)	109
Lower Inman Valley	Employed (part-time)	98
Lower Inman Valley	Not in the labour force	119
Lower Inman Valley	Unemployed (looking for work)	16
Lower Light	Employed (away from work)	6
Lower Light	Employed (full-time)	45
Lower Light	Employed (part-time)	40
Lower Light	Not in the labour force	56
Lower Light	Unemployed (looking for work)	6
Lower Mitcham	Employed (away from work)	54
Lower Mitcham	Employed (full-time)	599
Lower Mitcham	Employed (part-time)	430
Lower Mitcham	Not in the labour force	575
Lower Mitcham	Unemployed (looking for work)	56
Loxton	Employed (away from work)	130
Loxton	Employed (full-time)	1155
Loxton	Employed (part-time)	672
Loxton	Not in the labour force	1517
Loxton	Unemployed (looking for work)	94
Loxton North	Employed (away from work)	17
Loxton North	Employed (full-time)	244
Loxton North	Employed (part-time)	142
Loxton North	Not in the labour force	182
Loxton North	Unemployed (looking for work)	21
Lucindale	Employed (away from work)	22
Lucindale	Employed (full-time)	188
Lucindale	Employed (part-time)	89
Lucindale	Not in the labour force	131
Lucindale	Unemployed (looking for work)	10
Lucky Bay	Employed (part-time)	3
Lucky Bay	Not in the labour force	10
Lyndhurst (SA)	Employed (full-time)	4
Lyndhurst (SA)	Not in the labour force	3
Lyndhurst (SA)	Unemployed (looking for work)	3
Lyndoch	Employed (away from work)	51
Lyndoch	Employed (full-time)	548
Lyndoch	Employed (part-time)	312
Lyndoch	Not in the labour force	514
Lyndoch	Unemployed (looking for work)	54
Lynton	Employed (away from work)	10
Lynton	Employed (full-time)	69
Lynton	Employed (part-time)	37
Lynton	Not in the labour force	60
Lynton	Unemployed (looking for work)	7
Lyrup	Employed (away from work)	7
Lyrup	Employed (full-time)	77
Lyrup	Employed (part-time)	46
Lyrup	Not in the labour force	113
Lyrup	Unemployed (looking for work)	7
Maaoupe	Employed (away from work)	3
Maaoupe	Employed (full-time)	39
Maaoupe	Employed (part-time)	14
Maaoupe	Not in the labour force	9
Macclesfield (SA)	Employed (away from work)	44
Macclesfield (SA)	Employed (full-time)	370
Macclesfield (SA)	Employed (part-time)	293
Macclesfield (SA)	Not in the labour force	319
Macclesfield (SA)	Unemployed (looking for work)	32
Macdonald Park	Employed (away from work)	19
Macdonald Park	Employed (full-time)	140
Macdonald Park	Employed (part-time)	81
Macdonald Park	Not in the labour force	166
Macdonald Park	Unemployed (looking for work)	15
Macgillivray	Employed (away from work)	3
Macgillivray	Employed (full-time)	43
Macgillivray	Employed (part-time)	15
Macgillivray	Not in the labour force	15
Macgillivray	Unemployed (looking for work)	3
Magarey	Employed (full-time)	10
Magarey	Employed (part-time)	3
Magdala	Employed (full-time)	25
Magdala	Employed (part-time)	14
Magdala	Not in the labour force	11
Maggea	Employed (full-time)	8
Magill	Employed (away from work)	173
Magill	Employed (full-time)	2282
Magill	Employed (part-time)	1525
Magill	Not in the labour force	2827
Magill	Unemployed (looking for work)	299
Maitland (SA)	Employed (away from work)	33
Maitland (SA)	Employed (full-time)	270
Maitland (SA)	Employed (part-time)	204
Maitland (SA)	Not in the labour force	452
Maitland (SA)	Unemployed (looking for work)	36
Makin	Employed (full-time)	9
Makin	Unemployed (looking for work)	3
Malinong	Employed (full-time)	19
Malinong	Employed (part-time)	6
Malinong	Not in the labour force	6
Mallala	Employed (away from work)	28
Mallala	Employed (full-time)	246
Mallala	Employed (part-time)	130
Mallala	Not in the labour force	249
Mallala	Unemployed (looking for work)	20
Malpas	Employed (full-time)	5
Malpas	Not in the labour force	12
Maltee	Employed (full-time)	4
Malvern (SA)	Employed (away from work)	45
Malvern (SA)	Employed (full-time)	692
Malvern (SA)	Employed (part-time)	496
Malvern (SA)	Not in the labour force	766
Malvern (SA)	Unemployed (looking for work)	74
Mambray Creek	Employed (full-time)	4
Mambray Creek	Employed (part-time)	8
Mambray Creek	Not in the labour force	10
Mangalo	Employed (full-time)	23
Mangalo	Employed (part-time)	4
Mangalo	Not in the labour force	8
Manna Hill	Not in the labour force	4
Mannanarie	Employed (away from work)	3
Mannanarie	Employed (full-time)	32
Mannanarie	Employed (part-time)	9
Mannanarie	Not in the labour force	8
Manningham	Employed (away from work)	26
Manningham	Employed (full-time)	411
Manningham	Employed (part-time)	229
Manningham	Not in the labour force	323
Manningham	Unemployed (looking for work)	45
Mannum	Employed (away from work)	64
Mannum	Employed (full-time)	464
Mannum	Employed (part-time)	379
Mannum	Not in the labour force	1111
Mannum	Unemployed (looking for work)	67
Manoora (SA)	Employed (away from work)	6
Manoora (SA)	Employed (full-time)	34
Manoora (SA)	Employed (part-time)	20
Manoora (SA)	Not in the labour force	40
Manoora (SA)	Unemployed (looking for work)	3
Mansfield Park	Employed (away from work)	76
Mansfield Park	Employed (full-time)	858
Mansfield Park	Employed (part-time)	558
Mansfield Park	Not in the labour force	1410
Mansfield Park	Unemployed (looking for work)	213
Mantung	Employed (full-time)	8
Mantung	Not in the labour force	7
Marama	Employed (away from work)	3
Marama	Employed (full-time)	22
Marama	Employed (part-time)	5
Marama	Not in the labour force	17
Marama	Unemployed (looking for work)	3
Marananga	Employed (full-time)	35
Marananga	Employed (part-time)	15
Marananga	Not in the labour force	31
Marananga	Unemployed (looking for work)	3
Marble Hill	Employed (full-time)	18
Marble Hill	Employed (part-time)	15
Marble Hill	Not in the labour force	20
Marcollat	Employed (full-time)	33
Marcollat	Employed (part-time)	15
Marcollat	Not in the labour force	7
Marden	Employed (away from work)	44
Marden	Employed (full-time)	673
Marden	Employed (part-time)	384
Marden	Not in the labour force	712
Marden	Unemployed (looking for work)	86
Marino	Employed (away from work)	66
Marino	Employed (full-time)	645
Marino	Employed (part-time)	396
Marino	Not in the labour force	585
Marino	Unemployed (looking for work)	77
Marion	Employed (away from work)	71
Marion	Employed (full-time)	843
Marion	Employed (part-time)	590
Marion	Not in the labour force	1620
Marion	Unemployed (looking for work)	123
Marion Bay (SA)	Employed (away from work)	13
Marion Bay (SA)	Employed (full-time)	22
Marion Bay (SA)	Employed (part-time)	31
Marion Bay (SA)	Not in the labour force	53
Marion Bay (SA)	Unemployed (looking for work)	5
Markaranka	Employed (full-time)	10
Markaranka	Employed (part-time)	3
Marks Landing	Not in the labour force	9
Marla	Employed (away from work)	6
Marla	Employed (full-time)	32
Marla	Employed (part-time)	8
Marla	Not in the labour force	20
Marla	Unemployed (looking for work)	5
Marleston	Employed (away from work)	42
Marleston	Employed (full-time)	504
Marleston	Employed (part-time)	290
Marleston	Not in the labour force	502
Marleston	Unemployed (looking for work)	64
Marola	Employed (full-time)	3
Marrabel	Employed (full-time)	38
Marrabel	Employed (part-time)	15
Marrabel	Not in the labour force	25
Marree	Employed (away from work)	3
Marree	Employed (full-time)	25
Marree	Employed (part-time)	13
Marree	Not in the labour force	31
Marryatville	Employed (away from work)	13
Marryatville	Employed (full-time)	138
Marryatville	Employed (part-time)	125
Marryatville	Not in the labour force	175
Marryatville	Unemployed (looking for work)	19
Maryvale (SA)	Employed (full-time)	4
Maryvale (SA)	Not in the labour force	3
Maslin Beach	Employed (away from work)	28
Maslin Beach	Employed (full-time)	311
Maslin Beach	Employed (part-time)	220
Maslin Beach	Not in the labour force	301
Maslin Beach	Unemployed (looking for work)	43
Matta Flat	Employed (full-time)	7
Matta Flat	Employed (part-time)	12
Matta Flat	Not in the labour force	37
Maude (SA)	Employed (full-time)	3
Mawson Lakes	Employed (away from work)	322
Mawson Lakes	Employed (full-time)	4565
Mawson Lakes	Employed (part-time)	2029
Mawson Lakes	Not in the labour force	2672
Mawson Lakes	Unemployed (looking for work)	591
Mayfield (SA)	Employed (full-time)	3
Mayfield (SA)	Employed (part-time)	3
Maylands (SA)	Employed (away from work)	31
Maylands (SA)	Employed (full-time)	478
Maylands (SA)	Employed (part-time)	269
Maylands (SA)	Not in the labour force	376
Maylands (SA)	Unemployed (looking for work)	41
McBean Pound	Employed (away from work)	3
McBean Pound	Employed (full-time)	3
McBean Pound	Not in the labour force	9
McCallum	Employed (full-time)	12
McCallum	Not in the labour force	4
McCracken	Employed (away from work)	42
McCracken	Employed (full-time)	277
McCracken	Employed (part-time)	272
McCracken	Not in the labour force	988
McCracken	Unemployed (looking for work)	55
McHarg Creek	Employed (away from work)	3
McHarg Creek	Employed (full-time)	10
McHarg Creek	Employed (part-time)	10
McHarg Creek	Not in the labour force	12
McLaren Flat	Employed (away from work)	51
McLaren Flat	Employed (full-time)	441
McLaren Flat	Employed (part-time)	303
McLaren Flat	Not in the labour force	281
McLaren Flat	Unemployed (looking for work)	20
McLaren Vale	Employed (away from work)	90
McLaren Vale	Employed (full-time)	887
McLaren Vale	Employed (part-time)	662
McLaren Vale	Not in the labour force	1404
McLaren Vale	Unemployed (looking for work)	105
Meadows	Employed (away from work)	38
Meadows	Employed (full-time)	441
Meadows	Employed (part-time)	240
Meadows	Not in the labour force	305
Meadows	Unemployed (looking for work)	27
Medindie	Employed (away from work)	17
Medindie	Employed (full-time)	300
Medindie	Employed (part-time)	205
Medindie	Not in the labour force	363
Medindie	Unemployed (looking for work)	22
Medindie Gardens	Employed (away from work)	10
Medindie Gardens	Employed (full-time)	115
Medindie Gardens	Employed (part-time)	55
Medindie Gardens	Not in the labour force	75
Medindie Gardens	Unemployed (looking for work)	10
Melrose (SA)	Employed (away from work)	8
Melrose (SA)	Employed (full-time)	105
Melrose (SA)	Employed (part-time)	56
Melrose (SA)	Not in the labour force	91
Melrose (SA)	Unemployed (looking for work)	4
Melrose Park (SA)	Employed (away from work)	58
Melrose Park (SA)	Employed (full-time)	587
Melrose Park (SA)	Employed (part-time)	359
Melrose Park (SA)	Not in the labour force	623
Melrose Park (SA)	Unemployed (looking for work)	73
Melton (SA)	Employed (full-time)	4
Melton (SA)	Employed (part-time)	4
Melton (SA)	Not in the labour force	8
Melton Station	Employed (full-time)	5
Meningie	Employed (away from work)	28
Meningie	Employed (full-time)	255
Meningie	Employed (part-time)	184
Meningie	Not in the labour force	379
Meningie	Unemployed (looking for work)	22
Meningie East	Employed (full-time)	9
Meningie East	Employed (part-time)	4
Meningie West	Employed (full-time)	6
Meningie West	Not in the labour force	15
Menzies (SA)	Employed (away from work)	3
Menzies (SA)	Employed (full-time)	38
Menzies (SA)	Employed (part-time)	17
Menzies (SA)	Not in the labour force	5
Mercunda	Employed (full-time)	4
Merghiny	Employed (full-time)	4
Merghiny	Employed (part-time)	3
Meribah	Employed (away from work)	4
Meribah	Employed (full-time)	15
Meribah	Employed (part-time)	3
Meribah	Not in the labour force	7
Merriton	Employed (full-time)	20
Merriton	Employed (part-time)	13
Merriton	Not in the labour force	3
Middle Beach	Employed (full-time)	19
Middle Beach	Employed (part-time)	7
Middle Beach	Not in the labour force	32
Middle River	Employed (full-time)	4
Middle River	Not in the labour force	4
Middleback Range	Employed (full-time)	4
Middleton (SA)	Employed (away from work)	32
Middleton (SA)	Employed (full-time)	238
Middleton (SA)	Employed (part-time)	260
Middleton (SA)	Not in the labour force	364
Middleton (SA)	Unemployed (looking for work)	33
Midgee (SA)	Employed (full-time)	5
Midgee (SA)	Employed (part-time)	3
Mil-Lel	Employed (away from work)	15
Mil-Lel	Employed (full-time)	113
Mil-Lel	Employed (part-time)	66
Mil-Lel	Not in the labour force	47
Mil-Lel	Unemployed (looking for work)	5
Milang	Employed (away from work)	10
Milang	Employed (full-time)	176
Milang	Employed (part-time)	140
Milang	Not in the labour force	327
Milang	Unemployed (looking for work)	28
Mile End	Employed (away from work)	103
Mile End	Employed (full-time)	1323
Mile End	Employed (part-time)	785
Mile End	Not in the labour force	1265
Mile End	Unemployed (looking for work)	177
Mile End South	Employed (full-time)	8
Mile End South	Not in the labour force	3
Mile End South	Unemployed (looking for work)	5
Milendella	Employed (away from work)	6
Milendella	Employed (full-time)	26
Milendella	Employed (part-time)	5
Milendella	Not in the labour force	13
Millbrook (SA)	Employed (full-time)	41
Millbrook (SA)	Employed (part-time)	26
Millbrook (SA)	Not in the labour force	18
Millbrook (SA)	Unemployed (looking for work)	3
Millicent	Employed (away from work)	155
Millicent	Employed (full-time)	1063
Millicent	Employed (part-time)	743
Millicent	Not in the labour force	1782
Millicent	Unemployed (looking for work)	158
Millswood	Employed (away from work)	49
Millswood	Employed (full-time)	585
Millswood	Employed (part-time)	424
Millswood	Not in the labour force	551
Millswood	Unemployed (looking for work)	52
Miltalie	Employed (away from work)	3
Miltalie	Employed (full-time)	16
Miltalie	Employed (part-time)	8
Miltalie	Not in the labour force	10
Miltalie	Unemployed (looking for work)	3
Mimili	Employed (away from work)	3
Mimili	Employed (full-time)	31
Mimili	Employed (part-time)	33
Mimili	Not in the labour force	83
Minbrie	Employed (full-time)	8
Minbrie	Employed (part-time)	7
Minbrie	Not in the labour force	10
Mindarie (SA)	Employed (full-time)	10
Mindarie (SA)	Not in the labour force	16
Mingary	Employed (away from work)	4
Mingary	Employed (full-time)	42
Mingary	Employed (part-time)	10
Mingary	Not in the labour force	5
Mingbool	Employed (away from work)	3
Mingbool	Employed (full-time)	50
Mingbool	Employed (part-time)	23
Mingbool	Not in the labour force	26
Minlaton	Employed (away from work)	36
Minlaton	Employed (full-time)	210
Minlaton	Employed (part-time)	187
Minlaton	Not in the labour force	423
Minlaton	Unemployed (looking for work)	23
Minnipa	Employed (away from work)	4
Minnipa	Employed (full-time)	43
Minnipa	Employed (part-time)	36
Minnipa	Not in the labour force	46
Mintaro	Employed (away from work)	8
Mintaro	Employed (full-time)	48
Mintaro	Employed (part-time)	40
Mintaro	Not in the labour force	54
Mintaro	Unemployed (looking for work)	6
Minvalara	Not in the labour force	11
Miranda (SA)	Employed (full-time)	22
Miranda (SA)	Employed (part-time)	8
Miranda (SA)	Not in the labour force	9
Miranda (SA)	Unemployed (looking for work)	3
Mitcham (SA)	Employed (away from work)	42
Mitcham (SA)	Employed (full-time)	461
Mitcham (SA)	Employed (part-time)	318
Mitcham (SA)	Not in the labour force	608
Mitcham (SA)	Unemployed (looking for work)	40
Mitchell (SA)	Employed (full-time)	21
Mitchell (SA)	Employed (part-time)	8
Mitchell (SA)	Not in the labour force	6
Mitchell Park (SA)	Employed (away from work)	123
Mitchell Park (SA)	Employed (full-time)	1184
Mitchell Park (SA)	Employed (part-time)	863
Mitchell Park (SA)	Not in the labour force	2018
Mitchell Park (SA)	Unemployed (looking for work)	237
Mitchellville	Employed (full-time)	6
Mitchellville	Employed (part-time)	7
Mitchellville	Not in the labour force	3
Moana	Employed (away from work)	73
Moana	Employed (full-time)	737
Moana	Employed (part-time)	486
Moana	Not in the labour force	660
Moana	Unemployed (looking for work)	86
Mobilong	Not in the labour force	3
Moculta	Employed (full-time)	73
Moculta	Employed (part-time)	49
Moculta	Not in the labour force	41
Moculta	Unemployed (looking for work)	9
Modbury	Employed (away from work)	99
Modbury	Employed (full-time)	1297
Modbury	Employed (part-time)	813
Modbury	Not in the labour force	1782
Modbury	Unemployed (looking for work)	248
Modbury Heights	Employed (away from work)	182
Modbury Heights	Employed (full-time)	2030
Modbury Heights	Employed (part-time)	1124
Modbury Heights	Not in the labour force	1772
Modbury Heights	Unemployed (looking for work)	209
Modbury North	Employed (away from work)	131
Modbury North	Employed (full-time)	1578
Modbury North	Employed (part-time)	982
Modbury North	Not in the labour force	1534
Modbury North	Unemployed (looking for work)	186
Moerlong	Employed (full-time)	3
Moerlong	Employed (part-time)	6
Moerlong	Not in the labour force	3
Monarto	Employed (away from work)	4
Monarto	Employed (full-time)	48
Monarto	Employed (part-time)	28
Monarto	Not in the labour force	60
Monarto	Unemployed (looking for work)	5
Monarto South	Employed (full-time)	47
Monarto South	Employed (part-time)	23
Monarto South	Not in the labour force	52
Monarto South	Unemployed (looking for work)	3
Monash (SA)	Employed (away from work)	35
Monash (SA)	Employed (full-time)	330
Monash (SA)	Employed (part-time)	227
Monash (SA)	Not in the labour force	266
Monash (SA)	Unemployed (looking for work)	29
Monbulla	Employed (away from work)	11
Monbulla	Employed (full-time)	41
Monbulla	Employed (part-time)	15
Monbulla	Not in the labour force	22
Montacute	Employed (away from work)	9
Montacute	Employed (full-time)	82
Montacute	Employed (part-time)	46
Montacute	Not in the labour force	72
Montacute	Unemployed (looking for work)	12
Montarra	Employed (away from work)	3
Montarra	Employed (full-time)	6
Montarra	Employed (part-time)	3
Montarra	Not in the labour force	7
Monteith	Employed (away from work)	4
Monteith	Employed (full-time)	49
Monteith	Employed (part-time)	22
Monteith	Not in the labour force	23
Monteith	Unemployed (looking for work)	4
Moockra	Employed (full-time)	3
Moockra	Not in the labour force	3
Moody	Employed (full-time)	6
Moody	Employed (part-time)	4
Moody	Not in the labour force	9
Moonta	Employed (away from work)	5
Moonta	Employed (full-time)	95
Moonta	Employed (part-time)	81
Moonta	Not in the labour force	287
Moonta	Unemployed (looking for work)	31
Moonta Bay	Employed (away from work)	46
Moonta Bay	Employed (full-time)	377
Moonta Bay	Employed (part-time)	364
Moonta Bay	Not in the labour force	1029
Moonta Bay	Unemployed (looking for work)	67
Moonta Mines	Employed (away from work)	4
Moonta Mines	Employed (full-time)	28
Moonta Mines	Employed (part-time)	33
Moonta Mines	Not in the labour force	94
Moonta Mines	Unemployed (looking for work)	3
Moorak	Employed (away from work)	16
Moorak	Employed (full-time)	225
Moorak	Employed (part-time)	147
Moorak	Not in the labour force	644
Moorak	Unemployed (looking for work)	14
Moorlands	Employed (full-time)	14
Moorlands	Employed (part-time)	4
Moorlands	Not in the labour force	18
Moorook	Employed (away from work)	9
Moorook	Employed (full-time)	42
Moorook	Employed (part-time)	26
Moorook	Not in the labour force	57
Moorook	Unemployed (looking for work)	3
Moorook South	Employed (away from work)	4
Moorook South	Employed (full-time)	39
Moorook South	Employed (part-time)	28
Moorook South	Not in the labour force	62
Moppa	Employed (away from work)	4
Moppa	Employed (full-time)	24
Moppa	Employed (part-time)	15
Moppa	Not in the labour force	14
Moppa	Unemployed (looking for work)	3
Morchard	Employed (full-time)	7
Morchard	Employed (part-time)	3
Morchard	Not in the labour force	3
Morgan	Employed (away from work)	12
Morgan	Employed (full-time)	86
Morgan	Employed (part-time)	62
Morgan	Not in the labour force	238
Morgan	Unemployed (looking for work)	16
Morn Hill	Employed (full-time)	7
Morn Hill	Employed (part-time)	4
Morn Hill	Not in the labour force	4
Morphett Vale	Employed (away from work)	567
Morphett Vale	Employed (full-time)	5485
Morphett Vale	Employed (part-time)	3611
Morphett Vale	Not in the labour force	7407
Morphett Vale	Unemployed (looking for work)	982
Morphettville	Employed (away from work)	64
Morphettville	Employed (full-time)	754
Morphettville	Employed (part-time)	488
Morphettville	Not in the labour force	1210
Morphettville	Unemployed (looking for work)	121
Mortana	Employed (full-time)	9
Mortana	Employed (part-time)	3
Mortana	Not in the labour force	4
Moseley	Employed (full-time)	4
Moseley	Employed (part-time)	3
Moseley	Not in the labour force	4
Mosquito Hill	Employed (away from work)	9
Mosquito Hill	Employed (full-time)	36
Mosquito Hill	Employed (part-time)	22
Mosquito Hill	Not in the labour force	24
Mount Barker (SA)	Employed (away from work)	378
Mount Barker (SA)	Employed (full-time)	3646
Mount Barker (SA)	Employed (part-time)	2407
Mount Barker (SA)	Not in the labour force	3571
Mount Barker (SA)	Unemployed (looking for work)	437
Mount Barker Springs	Employed (away from work)	3
Mount Barker Springs	Employed (full-time)	59
Mount Barker Springs	Employed (part-time)	31
Mount Barker Springs	Not in the labour force	38
Mount Barker Summit	Employed (full-time)	26
Mount Barker Summit	Employed (part-time)	27
Mount Barker Summit	Not in the labour force	26
Mount Benson	Employed (away from work)	8
Mount Benson	Employed (full-time)	44
Mount Benson	Employed (part-time)	15
Mount Benson	Not in the labour force	14
Mount Benson	Unemployed (looking for work)	3
Mount Bryan	Employed (full-time)	35
Mount Bryan	Employed (part-time)	18
Mount Bryan	Not in the labour force	35
Mount Bryan East	Employed (full-time)	3
Mount Burr	Employed (away from work)	9
Mount Burr	Employed (full-time)	68
Mount Burr	Employed (part-time)	39
Mount Burr	Not in the labour force	139
Mount Burr	Unemployed (looking for work)	15
Mount Charles	Employed (full-time)	16
Mount Charles	Employed (part-time)	8
Mount Charles	Not in the labour force	6
Mount Clarence Station	Not in the labour force	3
Mount Compass	Employed (away from work)	47
Mount Compass	Employed (full-time)	362
Mount Compass	Employed (part-time)	268
Mount Compass	Not in the labour force	367
Mount Compass	Unemployed (looking for work)	43
Mount Cooper (SA)	Employed (full-time)	5
Mount Cooper (SA)	Employed (part-time)	3
Mount Crawford	Employed (full-time)	33
Mount Crawford	Employed (part-time)	27
Mount Crawford	Not in the labour force	39
Mount Crawford	Unemployed (looking for work)	4
Mount Damper	Employed (full-time)	16
Mount Damper	Not in the labour force	6
Mount Drummond	Employed (full-time)	8
Mount Dutton Bay	Employed (full-time)	10
Mount Dutton Bay	Employed (part-time)	5
Mount Dutton Bay	Not in the labour force	16
Mount Dutton Bay	Unemployed (looking for work)	5
Mount Eba	Employed (away from work)	9
Mount Eba	Employed (full-time)	110
Mount Eba	Employed (part-time)	12
Mount Eba	Not in the labour force	4
Mount Gambier	Employed (away from work)	614
Mount Gambier	Employed (full-time)	6597
Mount Gambier	Employed (part-time)	3970
Mount Gambier	Not in the labour force	7306
Mount Gambier	Unemployed (looking for work)	820
Mount George (SA)	Employed (away from work)	8
Mount George (SA)	Employed (full-time)	70
Mount George (SA)	Employed (part-time)	50
Mount George (SA)	Not in the labour force	84
Mount George (SA)	Unemployed (looking for work)	5
Mount Hope (SA)	Employed (full-time)	16
Mount Hope (SA)	Employed (part-time)	3
Mount Hope (SA)	Not in the labour force	13
Mount Jagged	Employed (away from work)	3
Mount Jagged	Employed (full-time)	38
Mount Jagged	Employed (part-time)	29
Mount Jagged	Not in the labour force	40
Mount Jagged	Unemployed (looking for work)	3
Mount Light	Employed (away from work)	7
Mount Light	Employed (full-time)	49
Mount Light	Employed (part-time)	28
Mount Light	Not in the labour force	28
Mount Light	Unemployed (looking for work)	4
Mount Magnificent	Employed (away from work)	6
Mount Magnificent	Employed (full-time)	8
Mount Magnificent	Employed (part-time)	11
Mount Magnificent	Not in the labour force	18
Mount Mary	Employed (part-time)	3
Mount Mary	Not in the labour force	15
Mount Mcintyre	Employed (away from work)	3
Mount Mcintyre	Employed (full-time)	22
Mount Mcintyre	Employed (part-time)	12
Mount Mcintyre	Not in the labour force	8
Mount Mckenzie	Employed (full-time)	16
Mount Mckenzie	Employed (part-time)	14
Mount Mckenzie	Not in the labour force	20
Mount Observation (SA)	Employed (part-time)	3
Mount Osmond	Employed (away from work)	11
Mount Osmond	Employed (full-time)	125
Mount Osmond	Employed (part-time)	76
Mount Osmond	Not in the labour force	94
Mount Osmond	Unemployed (looking for work)	7
Mount Pleasant (SA)	Employed (away from work)	34
Mount Pleasant (SA)	Employed (full-time)	267
